Компанија,Наслов,Опис
Прилепска пиварница АД Прилеп,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран Биланс на успех за период 01.01.2024 до 30.09.2024 година.
Прилепска пиварница АД Прилеп,Откуп/продажба на сопствени акции,"ИЗВЕСТУВАЊЕ ЗА СТЕКНУВАЊЕ СОПСТВЕНИ АКЦИИ СО ОТКУП  Согласно член 34 „Објавување во врска со капиталот“ од Правилата на котација на  Македонска Берза на хартии од вредност ад Скопје, а врз основа на донесената Одлука на Собранието на акционери на Прилепска пиварница ад Прилеп за стекнување сопствени акции со откуп бр. 0201-451/11 од 23.05.2024 година, известуваме дека  Прилепска пиварница ад Прилеп на ден 10.10.2024 година се стекна со 8 сопствени акции.  Вкупниот број сопствени акции што ги поседува друштвото е 472 што претставува 1,18% од вкупниот број акции од издавачот Прилепска пиварница ад Прилеп."
Прилепска пиварница АД Прилеп,Откуп/продажба на сопствени акции,"ИЗВЕСТУВАЊЕ ЗА СТЕКНУВАЊЕ СОПСТВЕНИ АКЦИИ СО ОТКУП Согласно член 34 „Објавување во врска со капиталот“ од Правилата на котација на  Македонска Берза на хартии од вредност ад Скопје, а врз основа на донесената Одлука на Собранието на акционери на Прилепска пиварница ад Прилеп за стекнување сопствени акции со откуп бр. 0201-451/11 од 23.05.2024 година, известуваме дека  Прилепска пиварница ад Прилеп на ден 16.09.2024 година се стекна со 10 сопствени акции. Вкупниот број сопствени акции што ги поседува друштвото е 464 што претставува 1,16% од вкупниот број акции од издавачот Прилепска пиварница ад Прилеп."
Прилепска пиварница АД Прилеп,Откуп/продажба на сопствени акции,"ИЗВЕСТУВАЊЕ ЗА СТЕКНУВАЊЕ СОПСТВЕНИ АКЦИИ СО ОТКУП Согласно член 34 „Објавување во врска со капиталот“ од Правилата на котација на  Македонска Берза на хартии од вредност ад Скопје, а врз основа на донесената Одлука на Собранието на акционери на Прилепска пиварница ад Прилеп за стекнување сопствени акции со откуп бр. 0201-451/11 од 23.05.2024 година, известуваме дека  Прилепска пиварница ад Прилеп на ден 29.08.2024 година се стекна со 33 сопствени акции. Вкупниот број сопствени акции што ги поседува друштвото е 454 што претставува 1,13% од вкупниот број акции од издавачот Прилепска пиварница ад Прилеп."
Прилепска пиварница АД Прилеп,Други ценовно чувствителни информации,Образложение за постигнатите резултати за период 01.01.2024 - 30.06.2024 година.
Прилепска пиварница АД Прилеп,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани финансиски извештаи за период 01.01.2024 до 30.06.2024 годинa.
Раде Кончар - Апаратна техника АД Скопје,Други ценовно чувствителни информации,"На Собранието на акционери на АД Раде Кончар-Апаратна техника-Скопје одржано на ден 17.12.2024 година, акционерите на Друштвото се произнесоа на следниот начин: -Не се донесе Одлука за измена и дополнување на Статутот на АД Раде Кончар-Апаратна техника-Скопје. -Не се донесе Одлука за одобрување на купопродажба на недвижен имот опишан во Имотен лист 58529 за КО Кисела Вода 2 на КП 1851/16 сопственост на ДОО Раде Кончар-Заеднички дејности-Скопје"
Раде Кончар - Апаратна техника АД Скопје,Предлог - одлуки за Собрание на акционери,"-Предлог-Одлука за измена и дополнување на Статутот на АД Раде Кончар-Апаратна техника-Скопје, предложена од Одборот на директори -Предлог-Одлука за измена и дополнување на Статутот на АД Раде Кончар-Апаратна техника-Скопје, предложена од акционери -Предлог-Одлука за одобрување продажба на недвижен имот, предложена од акционери"
Раде Кончар - Апаратна техника АД Скопје,Јавен повик за собрание,Јавен повик за Собрание на акционери на АД Раде Кончар-Апаратна техника-Скопје
Раде Кончар - Апаратна техника АД Скопје,Други ценовно чувствителни информации,Образложение кон деловните резултати за период од 01.01.2024 до 30.09.2024 година на АД Раде Кончар-Апаратна техника-Скопје
Раде Кончар - Апаратна техника АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,"Неревидиран, неконсолидиран Биланс на успех за период од 01.01.2024 до 30.09.2024 година на АД Раде Кончар-Апаратна техника-Скопје"
Раде Кончар - Апаратна техника АД Скопје,Други ценовно чувствителни информации,"Одборот на директори на АД Раде Кончар-Апаратна техника-Скопје со Одлука бр.0202-85 од 25.07.2024 година , ја назначи Лазаревски Татјана за лице овластено за контакт со инвеститори. Email: t.lazarevski@radekoncar-ad.com.mk Mob tel 070 319 528"
Раде Кончар - Апаратна техника АД Скопје,Измени во органи на управување,"Одборот на директори на АД Раде Кончар-Апаратна техника-Скопје, на својата конститутивна седница за извршен член на Одборот на директори ја назначи Лазаревски Татјана , а од редот на неизвршните членови го назначи Доновски Ѓорѓи за претседател на Одборот на директори."
Раде Кончар - Апаратна техника АД Скопје,Други ценовно чувствителни информации,Образложение кон деловните резултати за период од 01.01.2024 до 30.06.2024 година на АД Раде Кончар-Апаратна техника-Скопје
Раде Кончар - Апаратна техника АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,"Неревидирани, неконсолидирани финансиски извештаи за период од 01.01.2024 до 30.06.2024 година на АД Раде Кончар-Апаратна техника-Скопје"
Раде Кончар - Апаратна техника АД Скопје,Други одлуки од собрание,Други донесени одлуки на Собранието на акционери на АД Раде Кончар-Апаратна техника-Скопје
Раде Кончар - Апаратна техника АД Скопје,Измени во органи на управување,Одлука за отповикување и избор на членови на Одборот на директори на АД Раде Кончар-Апаратна техника-Скопје
Раде Кончар - Апаратна техника АД Скопје,Дивиденден Календар,Одлука за утврдување на износот на дивиденда за една акција и утврдување на дивиденден календар
Раде Кончар - Апаратна техника АД Скопје,Распределба на добивка,Одлука за распределба на добивката по годишната сметка за 2023 година на АД Раде Кончар-Апаратна техника-Скопје
Реплек АД Скопје,Други ценовно чувствителни информации,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавува Акционер со над 5% Пецовски Душан воедно Претседател на Управниот одбор и Генерален директор на Реплек АД Скопје, се стекна со 5 нови акции, со што поседува вкупно 31.620 или 12,20% од вкупниот број на акции. Акционер со над 5% односно компанијата Настел ДООЕЛ продаде 3.357 акции, со што поседува вкупно 17.866 или 6,89% од вкупниот број на акции"
Реплек АД Скопје,Други ценовно чувствителни информации,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавува Акционер со над 5% односно компанијата Настел ДООЕЛ продаде 99 акции, со што поседува вкупно 21.223 или 8,19% од вкупниот број на акции."
Реплек АД Скопје,Други ценовно чувствителни информации,Реплек АД - Бизнис план 2025 година
Реплек АД Скопје,Други ценовно чувствителни информации,Финансиски календар 2025
Реплек АД Скопје,Други ценовно чувствителни информации,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавува Акционер со над 5% Пецовски Владимир се стекна со 16 нови акции, со што поседува вкупно 16.460 или 6,35% од вкупниот број на акции. Акционер со над 5% односно компанијата Настел ДООЕЛ продаде 176 акции, со што поседува вкупно 21.322 или 8,23% од вкупниот број на акции. "
Реплек АД Скопје,Други ценовно чувствителни информации,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавува  Акционер со над 5% Пецовски Душан воедно Претседател на Управниот одбор и Генерален директор на Реплек АД Скопје, се стекна со 5 нови акции, со што поседува вкупно 31.615 или 12,20% од вкупниот број на акции. Акционер со над 5% Пецовски Владимир се стекна со 4 нови акции, со што поседува вкупно 16.444 или 6,34% од вкупниот број на акции. Членот на Управниот одбор на Реплек АД Скопје, Котески Коста се стекна со 10 нови акции, при што вкупно поседува 360 обични акции. Членот на Управниот одбор на Реплек АД Скопје, Гелевски Панче се стекна со 5 нови акции, при што вкупно поседува 305 обични акции. Членот на Управниот одбор на Реплек АД Скопје, Велковски Марјан се стекна со 10 нови акции, при што вкупно поседува 40 обични акции. Акционер со над 5% односно компанијата Настел ДООЕЛ продаде 97 акции, со што поседува вкупно 21.498 или 8,29% од вкупниот број на акции."
Реплек АД Скопје,Други ценовно чувствителни информации,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавува Акционер со над 5% Пецовски Владимир се стекна со 5 нови акции, со што поседува вкупно 16.440 или 6,34% од вкупниот број на акции."
Реплек АД Скопје,Други ценовно чувствителни информации,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавува Акционер со над 5% односно компанијата Настел ДООЕЛ продаде 7 акции, со што поседува вкупно 21.595 или 8,33% од вкупниот број на акции."
Реплек АД Скопје,Други ценовно чувствителни информации,"Согласно Глава 6 од Правилата за котација, известуваме за следната ценовно чувствителна информација:Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавува Акционер со над 5% односно компанијата Настел ДООЕЛ продаде 26 акции, со што поседува вкупно 21.602  или 8,33% од вкупниот број на акции.Акционер со над 5% Пецовски Душан се стекна со 5 нови акции, со што поседува вкупно 31.610 или 12,20% од вкупниот број на акции.Акционер со над 5% Пецовски Владимир се стекна со 3 нови акции, со што поседува вкупно 16.435 или 6,34% од вкупниот број на акции."
Реплек АД Скопје,Други ценовно чувствителни информации,"Согласно Глава 6 од Правилата за котација, известуваме за следната ценовно чувствителна информација: Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД објавува Акционер со над 5% Пецовски Владимир се стекна со 2 нови акции, со што поседува вкупно 16.432 или 6,34% од вкупниот број на акции."
Реплек АД Скопје,Други ценовно чувствителни информации,Образложение кон неревидираниот консолидиран и посебен Биланс на успех за период 01.01-30.09.2024
Реплек АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран поединечен Биланс на успех за период  01.01-30.09.2024
Реплек АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран консолидиран Биланс на успех за период 01.01-30.09.2024
Реплек АД Скопје,Други ценовно чувствителни информации,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавува Акционер со над 5% односно компанијата Настел ДООЕЛ продаде 83 акции, со што поседува вкупно 21.628 или 8,34% од вкупниот број на акции"
Реплек АД Скопје,Други ценовно чувствителни информации,Одлука за лице за контакт со инвеститори Офелија Петковиќ телефон: 072 314 616 email: ofelija.petkovikj@replek.mk
Реплек АД Скопје,Други ценовно чувствителни информации,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавува Членот на Управен одбор Коста Котески се стекна со 10 нови акции, при што вкупно поседува 350 обични акции. "
Реплек АД Скопје,Други ценовно чувствителни информации,Известување за остварени приходи од продажба (сегмент фармација) за период 01.01.2024-30.09.2024.
Реплек АД Скопје,Други ценовно чувствителни информации,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавува Акционер со над 5% односно компанијата Настел ДООЕЛ продаде 10 акции, со што поседува вкупно 21.711 или 8,37% од вкупниот број на акции. "
Реплек АД Скопје,Други ценовно чувствителни информации,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД објавува Акционер со над 5% Пецовски Владимир се стекна со 17 нови акции, со што поседува вкупно 16.430 или 6,34% од вкупниот број на акции. Акционер со над 5% односно компанијата Настел ДООЕЛ продаде 32 акции, со што поседува вкупно 21.721 или 8,38% од вкупниот број на акции. Членот на Управен одбор Велковски Марјан се стекна со 10 нови акции, при што вкупно поседува 40 обични акции."
Реплек АД Скопје,Други ценовно чувствителни информации,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавува Акционер со над 5% Пецовски Владимир се стекна со 3 нови акции, со што поседува вкупно 16.413 или 6,33% од вкупниот број на акции. Акционер со над 5% односно компанијата Настел ДООЕЛ продаде 99 акции, со што поседува вкупно 21.753 или 8,39% од вкупниот број на акции."
Реплек АД Скопје,Други ценовно чувствителни информации,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавува Акционер со над 5% Пецовски Владимир се стекна со 4 нови акции, со што поседува вкупно 16.410 или 6.33% од вкупниот број на акции. Акционер со над 5% односно компанијата Настел ДООЕЛ продаде 241 акции, со што поседува вкупно 21.852 или 8,43% од вкупниот број на акции."
Реплек АД Скопје,Други ценовно чувствителни информации,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД  Скопје објавува Акционер со над 5% воедно и претседателот на Управен одбор Пецовски Душан се стекна со 5 нови акции, со што поседува вкупно 31.605 или 12,19% од вкупниот број на акции. Акционер со над 5% Пецовски Владимир се стекна со 1 нова акција, со што поседува вкупно 16.406 обични акции или 6,33% од вкупниот број на акции. Акционер со над 5%, компанијата Настел ДООЕЛ продаде 104 акции, со што поседува вкупно 22.093 или 8,52% од вкупниот број на акции. "
Реплек АД Скопје,Други ценовно чувствителни информации,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД  Скопје објавува Акционер со над 5% Пецовски Владимир се стекна со 1 нова акција, со што поседува вкупно 16.405 обични акции или 6,33% од вкупниот број на акции. Исто така членот на Управен одбор Котески Коста се стекна со 10 нови акции, при што вкупно поседува 340 обични акции."
Реплек АД Скопје,Други ценовно чувствителни информации,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавува Акционер со над 5% Пецовски Владимир се стекна со 3 нови акции, со што поседува вкупно 16.404 или 6,33% од вкупниот број на акции."
Реплек АД Скопје,Други ценовно чувствителни информации,Образложение кон неревидираниот консолидиран и посебен Биланс на успех за период 01.01.-30.06.2024 година
Реплек АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани консолидирани финансиски извештаи за период 01.01.-30.06.2024 година
Реплек АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани посебни финансиски извештаи за период 01.01.-30.06.2024 година
Реплек АД Скопје,Други ценовно чувствителни информации,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавува Акционер со над 5%, односно компанијата Настел ДООЕЛ продаде 212 акции, со што поседува вкупно 22.197 или 8,56% од вкупниот број на акции."
Реплек АД Скопје,Други ценовно чувствителни информации,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавува Акционер со над 5% односно компанијата Настел ДООЕЛ продаде 1.179 акции, со што поседува вкупно 22.409 или 8,65% од вкупниот број на акции."
Реплек АД Скопје,Други ценовно чувствителни информации,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавува: Акционер со над 5% Пецовски Владимир се стекна со 1 нова акција, со што поседува вкупно 16.401 или 6,33% од вкупниот број на акции. Акционер со над 5% односно компанијата Настел ДООЕЛ продаде 682 акции, со што поседува вкупно 23.588 или 9,10% од вкупниот број на акции."
Реплек АД Скопје,Други ценовно чувствителни информации,"Постапувајќи согласно член 38 од Правилата за котација на Македоснака берза АД Скопје, Реплек АД Скопје објавува Акционер со над 5% односно компанијата Настел ДООЕЛ продаде 5 акции (пред поделба на акциите), со што после поделба на акциите поседува вкупно 24.270 или 9,36% од вкупниот број на акции."
Реплек АД Скопје,Други ценовно чувствителни информации,Известување за времено стопирање на тргување со акциите издадени од Реплек АД Скопје
Реплек АД Скопје,Други ценовно чувствителни информации,Известување за остварени приходи од продажба (сегмент фармација) за период 01.01.2024 - 30.06.2024.
Реплек АД Скопје,Други ценовно чувствителни информации,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје Реплек АД Скопје објавува дека членот на Управниот одбор на Реплек АД Скопје, Котески Коста се стекна со 3 нови акции, при што вкупно поседува 33 обични акции."
РЖ Економика АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран биланс на успех за период јануари - септември 2024 година
РЖ Економика АД Скопје,Други ценовно чувствителни информации,Образложение за деловниот резултат за период јануари - јуни 2024 година
РЖ Економика АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,НЕРЕВИДИРАНИ  ФИНАНСИСКИ ИЗВЕШТАИ ЗА ПЕРИОД ЈАНУАРИ - ЈУНИ 2024 ГОДИНА
РЖ Интер-Трансшпед АД Скопје,Други ценовно чувствителни информации,"Симеон Василевповеќе не е акционер во РЖ Интер-трансшпед АД Скопје, нов акционер еВасил Василевсо 62.500 илјади акции во РЖ Интер-трансшпед АД Скопје или 10,6%"
РЖ Интер-Трансшпед АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран биланс на успех 01.01.-30.09.2024
РЖ Интер-Трансшпед АД Скопје,Други ценовно чувствителни информации,Образложение на финансискиот извештај за првите шест месеци од 2024 год.
РЖ Интер-Трансшпед АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани финансиски извештаи од 01.01.2024 - 30.06.2024
РЖ Интер-Трансшпед АД Скопје,Зделка со заинтересирана страна,"Согласно Глава 6 од Правилата за котација, известуваме за следната Зделка со заинтересирана страна: ИЗВЕСТУВАЊЕ ЗА ЗДЕЛКА СО ЗАИНТЕРЕСИРАНА СТРАНА Согласно член 460-г од Законот за трговските друштва и Одлуката на Одборот на директори на РЖ ИТШ АД Скопје донесена на состанок одржан на 05.07.2024 година, РЖ ИТШ АД Скопје (Во понатамошниот текст: Друштвото) известува дека се одобри следниве зделки со заинтересирана страна: Горенаведените договори се зделки со  заинтересирана страна, поради тоа што Друштвото РЖ ИТШ АД Скопје има акционер кое поседува повеќе од 20% од акциите со право на глас како и членови на Одборот на директори кои се во крвно сродство со Управителот на Закупецот ТРАНСТИЛ ДООЕЛ Скопје. "
РЖ Техничка контрола АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,
РЖ Техничка контрола АД Скопје,Други ценовно чувствителни информации,Образложение кон неревидирани финансиски извештаи 30.06.2024
РЖ Техничка контрола АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани финансиски извештаи 01.01.2024-30.06.2024
РЖ Услуги АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,
РЖ Услуги АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,
РЖ Услуги АД Скопје,Други ценовно чувствителни информации,
РЖ Услуги АД Скопје,Други ценовно чувствителни информации,
РЖ Услуги АД Скопје,Други ценовно чувствителни информации,Ви доставуваме кратко образложение за работењето на друштвото РЖ УСЛУГИ АД Скопје за период јануари -јуни 2024 год
РЖ Услуги АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,Ви доставуваме неревидирани консолидирани финансиски извештаи за период 01.01.2024-30.06.2024 год
РЖ Услуги АД Скопје,Други ценовно чувствителни информации,Во прилог Ви доставуваме кратко образложение за работењето на дрруштвото РЖ Услуги АД   за период  јануари-јуни 2024 год
РЖ Услуги АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,Во прилог Ви доставуваме неревидирани неконсолидирани финансиски извештаи за период 01.01.2024-30.06.2024 година
Рудници Бањани АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,bilans na uspeh od 01.01.2024 do 30.09.2024
Рудници Бањани АД Скопје,Други ценовно чувствителни информации,"образложение за финснсискиот резултат за период од 01,01,2024 до 30,06,2024 година"
Рудници Бањани АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,"Финансиски извештаи за период од 01,01,2024 до 30,06,2024"
Сигурносно стакло АД Прилеп,Неревидиран биланс на успех 01.01. - 30.09.,"Неревидиран биланс на успех 01,01,2024-30,09,2024"
Сигурносно стакло АД Прилеп,Други ценовно чувствителни информации,Образложение кон финансиските извештаи
Сигурносно стакло АД Прилеп,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани финансиски извештаи
Силекс АД Кратово,Други ценовно чувствителни информации,"Одлука за измена на лице за контакт за Силекс Ад, Кратово"
Силекс АД Кратово,Неревидиран биланс на успех 01.01. - 30.09.,"Konsolidiran nerevidiran bilans na uspeh za RIK SILEKS AD, Kratovo  za period od 01.01.2024 do 30.09.2024"
Силекс АД Кратово,Неревидиран биланс на успех 01.01. - 30.09.,
Силекс АД Кратово,Други ценовно чувствителни информации,"Izvestaj za finansiskite rezultati za RIK SILEKS AD, Kratovo za period 01.01.2024--30.06.2024"
Силекс АД Кратово,Неревидирани финансиски извештаи 01.01. - 30.06.,"Неревидиран, консолидиран Биланс на успех, Биланс на состојба, Промени во капиталот и Паричен тек за РИК СИЛЕКС АД, Кратово, за период 01.01.2024-30.06.2024"
Силекс АД Кратово,Распределба на добивка,"Одлука за распределба на добивка на РИК СИЛЕКС АД, Кратово"
Силекс АД Кратово,Други одлуки од собрание,"Одлуки од Годишно собрание на акционери на РИК СИЛЕКС АД, Кратово"
Силекс АД Кратово,Други ценовно чувствителни информации,"Извештај за финансиските резултати на РИК СИЛЕКС АД, Кратово за период од 01.01.2024 до 30.06.2024"
Силекс АД Кратово,Неревидирани финансиски извештаи 01.01. - 30.06.,"Неревидирани финансиски извештаи за РИК СИЛЕКС АД, Кратово за период од 01.01.2024 до 30.06.2024"
Силекс АД Кратово,Други ценовно чувствителни информации,"Godisen izvestaj za rabota na drustvoto RIK SILEKS AD, Kratovo za 2023 godina"
Силекс АД Кратово,Ревидирани финансиски извештаи,Revidirani konsolidirani finansiski izvestai za RIK SILEKS AD za 2023 godina
Силекс АД Кратово,Ревидирани финансиски извештаи,Revizorski izvestaj za RIK SILEKS AD za 2023 godina
Силекс АД Кратово,Предлог - одлуки за Собрание на акционери,Predlog odluki za Sobranie na akcioneri- RIK SILEKS AD
Силекс АД Кратово,Јавен повик за собрание,Javen povik za godisno sobranie na akcioneri- RIK SILEKS AD
Скопски Пазар АД Скопје,Други ценовно чувствителни информации,Согласно член 40 точка 4 од Правилата за котацијаСкопски пазар АД СкопјеобјавуваОбразложение кон резултатите за период од 01.01.-30.09.2024 година
Скопски Пазар АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,Согласно член 40 точка 2 од Правилата за котацијаСкопски пазар АД Скопјего објавуванеревидираниот Биланс на успех за 01.01.-30.09.2024 година:
Скопски Пазар АД Скопје,Зделка со заинтересирана страна,Согласно Правилата за котацијаСкопски пазар АД Скопјеја објавуваОдлуката за голема зделка со заинтересирана страна  донесена на Собранието на акционери одржано на ден 03.09.2024 година
Скопски Пазар АД Скопје,Предлог - одлуки за Собрание на акционери,Предлог-одлуки за Собрание на акционери - 03.09.2024 година
Скопски Пазар АД Скопје,Јавен повик за собрание,Јавен повик за Собрание на акционери - 03.09.2024 година
Скопски Пазар АД Скопје,Други ценовно чувствителни информации,Согласно член 40 точка 4 од Правилата за котација Скопски пазар АД Скопје објавува кратко образложение на резултатите кон финансиските извештаи за 01.01.-30.06.2024 година:
Скопски Пазар АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,"Согласно член 40 од Правилата за котација Скопски пазар АД Скопје ги објавува неревидираните и неконсолидирани финансиски извештаи (Биланс на успех, Биланс на состојба, Извештај за паричните текови и Извештај за промените во капиталот) за периодот 01.01.-30.06.2024 година:"
Славеј АД Скопје,Други ценовно чувствителни информации,Неревидирани финансиски извештаи за период од 01.01.2024г. до 30.09.2024г.
Славеј АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,Неревидирани финансиски извештаи за период од 01.01.2024г. до 30.09.2024г.
Славеј АД Скопје,Други ценовно чувствителни информации,"ЦОП СЛАВЕЈ АД Скопје, неревидираните финансиски извештаи за период од 01.01.2024год. до 30.09.2024год. ќе ги објави на ден 31.10.2024год. по 13.00 часот."
Славеј АД Скопје,Други ценовно чувствителни информации,Неревидирани финансиски извештаи за период од 01.01.2024год. до 30.06.2024год.
Славеј АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани финансиски извештаи за период од 01.01.2024год. до 30.06.2024год.
Славеј АД Скопје,Други ценовно чувствителни информации,ЦОП СЛАВЕЈ АД Скопје неревидирани финансиски извештаи за период од 01.01.2024год. до 30.06.2024год.ќе објави на ден 31.07.2024год.по 08часот.
СН Осигурителен Брокер АД Битола,Други ценовно чувствителни информации,Образложение со 30.09.24- Корекција
СН Осигурителен Брокер АД Битола,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран биланс на успех 01.01-30.09.24 - Корекција
СН Осигурителен Брокер АД Битола,Други ценовно чувствителни информации,
СН Осигурителен Брокер АД Битола,Неревидиран биланс на успех 01.01. - 30.09.,
СН Осигурителен Брокер АД Битола,Други ценовно чувствителни информации,Образложение 01.01-30.06.2024
СН Осигурителен Брокер АД Битола,Неревидирани финансиски извештаи 01.01. - 30.06.,објавуваме неревидиран финансиски извештај 01.01.-30.06.2024
СН Осигурителен Брокер АД Битола,Други одлуки од собрание,Корегирана одлука за распоредување на финансиски резултат од деловната 2023 година. Увидовме дека сме направиле грешка одлуката беше направена согласно завршната сметка која подоцна претрпи измени и истата беше објавена согласно законските рокови но не сме ја објавиле корегираната одлука.
Современ дом АД Прилеп,Други одлуки од собрание,
Современ дом АД Прилеп,Други ценовно чувствителни информации,Образложение за неревидираниот финансиски извештај за периодот 01.01.2024-30.09.2024
